"root","file","ra","dec","srcid","msamet","slitid","grating","exptime","wmin","wmax","sn50","flux50","ctime","version","References","nRef","zfit","z","grade","reviewer","comment","thumb","slit_thumb","FITS","fnu","flam","has_v3","flam_v3"
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_45092.spec.fits","3.566923","-30.347273","45092","jw08204001001_01_msa.fits","118","G395M_F290LP","8753.3","2.69","5.5","37.8","9.097","2025-11-06 15:11:20.296","0.9.13.dev13+g833a53735","-","0","3.4605","3.4605","3","Auto","Redshift matches abell2744-greene-v4_prism-clear_8204_45092 z=3.4650","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_45092.spec.fits","3.566923","-30.347273","45092","jw08204001001_01_msa.fits","118","PRISM_CLEAR","2188.3","1.27","5.5","57","8.625","2025-11-06 15:11:10.400","0.9.13.dev13+g833a53735","-","0","3.465","3.465","3","GBr","big break with lines","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_45092.spec.fits","3.566923","-30.347273","45092","jw08204001001_01_msa.fits","118","G235M_F170LP","35013.3","1.61","4.43","45.8","7.592","2025-11-06 15:11:16.124","0.9.13.dev13+g833a53735","-","0","3.4605","3.4605","3","Auto","Redshift matches abell2744-greene-v4_prism-clear_8204_45092 z=3.4650","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_b217.spec.fits","3.53654602","-30.34615517","217","jw08204001001_01_msa.fits","217","G235M_F170LP","35013.3","1.61","4.58","38.1","5.504","2025-11-06 13:55:13.561","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_45924.spec.fits","3.58476007","-30.34362753","45924","jw08204001001_01_msa.fits","43","G395M_F290LP","8753.3","2.8","5.5","25.2","4.296","2025-11-06 14:27:11.606","0.9.13.dev13+g833a53735","RNa24  z=N/A","1","4.4633","4.4633","3","Auto","Redshift matches abell2744-greene-v4_prism-clear_8204_45924 z=4.4634","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_45924.spec.fits","3.58476007","-30.34362753","45924","jw08204001001_01_msa.fits","43","PRISM_CLEAR","2188.3","0.55","5.5","31.9","4.089","2025-11-06 14:26:51.602","0.9.13.dev13+g833a53735","RNa24  z=N/A","1","4.47","4.4634","3","GBr","interactive fit -1 189 1.3 21 monster LRD","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_45924.spec.fits","3.58476007","-30.34362753","45924","jw08204001001_01_msa.fits","43","G235M_F170LP","35013.3","1.71","3.86","25.3","2.663","2025-11-06 14:27:00.586","0.9.13.dev13+g833a53735","RNa24  z=N/A","1","4.4633","4.4633","3","Auto","Redshift matches abell2744-greene-v4_prism-clear_8204_45924 z=4.4634","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_37777.spec.fits","3.54299987","-30.37759212","37777","jw08204001001_01_msa.fits","168","G395M_F290LP","8753.3","2.69","5.5","4.2","0.714","2025-11-06 14:04:39.858","0.9.13.dev13+g833a53735","-","0","2.4095","2.4095","3","Auto","Redshift matches abell2744-greene-v4_prism-clear_8204_37777 z=2.4095","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_42811.spec.fits","3.5237622","-30.37256979","42811","jw08204001001_01_msa.fits","264","G395M_F290LP","8753.3","2.69","5.5","1.2","0.669","2025-11-06 13:51:54.398","0.9.13.dev13+g833a53735","RNa24  z=3.974","1","3.9843","3.9843","3","Auto","Redshift matches abell2744-greene-v4_prism-clear_8204_42811 z=3.9977","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_37777.spec.fits","3.54299987","-30.37759212","37777","jw08204001001_01_msa.fits","168","G235M_F170LP","35013.3","1.61","4.58","3.9","0.661","2025-11-06 14:04:32.702","0.9.13.dev13+g833a53735","-","0","2.4095","2.4095","3","Auto","Redshift matches abell2744-greene-v4_prism-clear_8204_37777 z=2.4095","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_37777.spec.fits","3.54299987","-30.37759212","37777","jw08204001001_01_msa.fits","168","PRISM_CLEAR","2188.3","0.55","5.5","7.1","0.657","2025-11-06 14:04:23.218","0.9.13.dev13+g833a53735","-","0","2.4095","2.4095","3","GBr","balmer break low EW in prism but Ha in grating","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_42811.spec.fits","3.5237622","-30.37256979","42811","jw08204001001_01_msa.fits","264","PRISM_CLEAR","2188.3","0.55","5.5","2.9","0.631","2025-11-06 13:51:48.354","0.9.13.dev13+g833a53735","RNa24  z=3.974","1","3.9977","3.9977","3","GBr","red and extended","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_51172.spec.fits","3.53648972","-30.35728195","51172","jw08204001001_01_msa.fits","216","G235M_F170LP","35013.3","1.61","4.58","2.1","0.59","2025-11-06 14:51:54.170","0.9.13.dev13+g833a53735","-","0","3.4675","3.4675","3","Auto","Redshift matches abell2744-greene-v4_prism-clear_8204_51172 z=3.4682","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_51971.spec.fits","3.58823507","-30.35569227","51971","jw08204001001_01_msa.fits","21","G395M_F290LP","8753.3","2.69","5.5","2.4","0.536","2025-11-06 14:01:32.451","0.9.13.dev13+g833a53735","-","0","2.3588","2.3588","3","Auto","Redshift matches abell2744-greene-v4_prism-clear_8204_51971 z=2.3618","","","FITS   d2d","","","0",""
