,P16,P50,P84
lsf_scale,1.0181888098589247,1.0458619653612597,1.0803573528791868
PRISM_flux,1.0,1.0,1.0
PRISM_offset,0.0,0.0,0.0
G395M_flux,0.9606610914017304,0.9656023531128256,0.9699820129813305
G395M_offset,-0.29310991901384126,-0.2824520690686335,-0.2600860516181032
logL,-848.6763150326217,-844.8610275303507,-841.2688957497185
logP,-147068.85984059024,-143816.8054699594,-141888.8423652915
absorption1_HI_absorption_6564.632_redshift,3.5500571890915222,3.5502444127108808,3.5504226908418905
exponential1_HI_exponential_6564.632_redshift,3.5498853668053187,3.5500926166686098,3.5504858433351685
exponential1_HI_exponential_10941.082_redshift,3.5498853668053187,3.5500926166686098,3.5504858433351685
emission1_HI_emission_6564.632_redshift,3.5475649884320015,3.5481455962641313,3.5485370815533943
emission1_HI_emission_10941.082_redshift,3.5475649884320015,3.5481455962641313,3.5485370815533943
emission1_HI_emission_10052.123_redshift,3.5475649884320015,3.5481455962641313,3.5485370815533943
emission1_HI_emission_4862.691_redshift,3.5475649884320015,3.5481455962641313,3.5485370815533943
emission1_[OIII]m1_emission_4960.295_redshift,3.5475649884320015,3.5481455962641313,3.5485370815533943
emission1_[OIII]m1_emission_5008.24_redshift,3.5475649884320015,3.5481455962641313,3.5485370815533943
emission2_HeI_emission_10833.306_redshift,3.5495550571138166,3.5500976910437583,3.550633633476872
absorption1_HI_absorption_6564.632_flux,-700.9545259048678,-579.4110047138336,-475.44029743945094
exponential1_HI_exponential_6564.632_flux,4826.943853900597,4942.229921638165,5093.049121243637
exponential1_HI_exponential_10941.082_flux,412.73743128231115,447.76414371444247,479.3687592664701
emission1_HI_emission_6564.632_flux,1223.40032107672,1454.8263721251355,1687.4303490328805
emission1_HI_emission_10941.082_flux,4.697139805778298,10.945928603917611,22.881948112737714
emission1_HI_emission_10052.123_flux,109.29770155736033,123.93901437005891,137.3287137010939
emission1_HI_emission_4862.691_flux,483.53353538516643,519.5367710398335,553.5669586809653
emission1_[OIII]m1_emission_4960.295_flux,25.06440130624357,30.98769025339659,38.40695274943015
emission1_[OIII]m1_emission_5008.24_flux,74.79139667613585,92.46630731377944,114.60515665653226
emission2_HeI_emission_10833.306_flux,194.90973310516495,210.92059262659953,226.86156222935392
absorption1_HI_absorption_6564.632_fwhm,87.95957710145689,167.71767486648127,232.00237234551588
exponential1_HI_exponential_6564.632_fwhm,1226.4671631195492,1276.1243318019383,1324.929180694652
exponential1_HI_exponential_10941.082_fwhm,1226.4671631195492,1276.1243318019383,1324.929180694652
emission1_HI_emission_6564.632_fwhm,709.4572204782435,733.8410237803653,745.5364894971663
emission1_HI_emission_10941.082_fwhm,709.4572204782435,733.8410237803653,745.5364894971663
emission1_HI_emission_10052.123_fwhm,709.4572204782435,733.8410237803653,745.5364894971663
emission1_HI_emission_4862.691_fwhm,709.4572204782435,733.8410237803653,745.5364894971663
emission1_[OIII]m1_emission_4960.295_fwhm,709.4572204782435,733.8410237803653,745.5364894971663
emission1_[OIII]m1_emission_5008.24_fwhm,709.4572204782435,733.8410237803653,745.5364894971663
emission2_HeI_emission_10833.306_fwhm,523.7643653900786,647.1961826485369,710.8829775683702
absorption1_HI_absorption_6564.632_ew,-45.27594175378492,-37.70798776127744,-30.950281987879798
exponential1_HI_exponential_6564.632_ew,312.85041202485155,321.1907259671681,331.7121567773282
exponential1_HI_exponential_10941.082_ew,50.22755801690571,54.53874780523406,58.55430414533233
emission1_HI_emission_6564.632_ew,79.81808940330903,94.58614408086936,109.91022712300193
emission1_HI_emission_10941.082_ew,0.5724055845803464,1.3345923632464147,2.7863712308047113
emission1_HI_emission_10052.123_ew,11.101568251256666,12.597219307753093,13.961969498477144
emission1_HI_emission_4862.691_ew,37.573280636023014,40.53624152237121,43.09169615634008
emission1_[OIII]m1_emission_4960.295_ew,1.8911191927662023,2.3474489307660846,2.9098562032529647
emission1_[OIII]m1_emission_5008.24_ew,5.560535500649189,6.902048344399859,8.55991905353897
emission2_HeI_emission_10833.306_ew,23.174823095558327,25.280206275367675,27.049601431075278
PRISM_absorption1_HI_absorption_6564.632_lsf,0.016286086377311132,0.01672803795700457,0.01727938587472863
PRISM_exponential1_HI_exponential_6564.632_lsf,0.016284919693991776,0.016728564956866712,0.017278905475831413
PRISM_exponential1_HI_exponential_10941.082_lsf,0.01094286870863006,0.011241002122905092,0.011610784167045333
PRISM_emission1_HI_emission_6564.632_lsf,0.01629169908575301,0.016732941847848078,0.01728674783186428
PRISM_emission1_HI_emission_10941.082_lsf,0.01094755485997283,0.011244019158787835,0.011616205078039201
PRISM_emission1_HI_emission_10052.123_lsf,0.011617138668755573,0.011931684882634193,0.012326693449559882
PRISM_emission1_HI_emission_4862.691_lsf,0.01954817020592879,0.0200779379064508,0.020742063404541235
PRISM_emission1_[OIII]m1_emission_4960.295_lsf,0.019321422736993703,0.01984505455153314,0.02050146603667143
PRISM_emission1_[OIII]m1_emission_5008.24_lsf,0.019212958397595313,0.01973365450266005,0.020386376713549325
PRISM_emission2_HeI_emission_10833.306_lsf,0.011018973988442716,0.011319535569581268,0.011692733217765556
G395M_absorption1_HI_absorption_6564.632_lsf,0.002206291537311627,0.002266282750385685,0.002341046183572943
G395M_exponential1_HI_exponential_6564.632_lsf,0.002206337273769158,0.002266262091044478,0.002341065017506555
G395M_exponential1_HI_exponential_10941.082_lsf,0.0025573794401659612,0.0026267884106929576,0.002713559562904969
G395M_emission1_HI_emission_6564.632_lsf,0.002206071575324517,0.002266079522340892,0.0023407576587111466
G395M_emission1_HI_emission_10941.082_lsf,0.002556744143396489,0.00262635187954236,0.0027128246540101706
G395M_emission1_HI_emission_10052.123_lsf,0.0024751317771245953,0.0025425042460497766,0.002626233411822941
G395M_emission1_HI_emission_4862.691_lsf,0.0021024987979420635,0.0021596726333754637,0.0022308656353860834
G395M_emission1_[OIII]m1_emission_4960.295_lsf,0.002107900825331302,0.002165222509805098,0.00223659724702942
G395M_emission1_[OIII]m1_emission_5008.24_lsf,0.002110580639603681,0.002167975665783392,0.0022394405606659122
G395M_emission2_HeI_emission_10833.306_lsf,0.0025471290404639546,0.0026162040762990717,0.0027025228947795657
WAIC,1735.9240979539802,1735.9240979539802,1735.9240979539802
